"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.140874685234294,1.07,0.303106653760356,-2.91714969519994,14.7116198782246,-16860.4927848165,0.72,0.54,0.57,0.79,0.71,0,1,1,0.734304373165445,0.698274555069043,113733547507.762,1.00869990729994,0.0402619842881623,2013,1,5,25.5147902136989,0.0676586484738149
"2",0.00441734862349712,1.03,-0.715026550283092,-21.7784633738293,73.4276001384249,4866.45052954602,0.11,0,0.08,0.04,0.52,0,1,1,-2.83428799044772,-0.388000742320785,-52562937677.6796,0.314711639070007,-0.042838934246975,2014,1,5,25.2063690471979,0.0295588022415444
"3",0.0448185976478319,1.54,0.677696387565413,22.7283326603397,49.9487350532364,5637.82492878795,0.11,0.01,0.09,0.06,0.55,0,1,1,1.68476573189831,0.38942784273651,367113576999.598,1.68092636605572,0.0388677431258822,2015,1,5,23.914233277258,0.431782416425538
"4",-0.0616,0.36,0.132549493927258,7.34158154528667,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,0.0991287608112118,0.0720569516305547,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-3.72613718021362,0.9952,5.93,-224.361090878226,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-1.02793453142013
"6",0.1587,1.53938990792078,0.48130894426623,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,1.19361921529167
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.0357905656270902,1.53,0.460850911852398,15.868088880922,70.5384128343129,6790.83139566106,0,0,0,0,0.1,0,0,0,3.485224952329,0.222546560829726,100298086755.753,1.94587936650084,0.081231116123042,2014,3,1,24.1558922577715,0.425267735404344
"9",0.0386632337104467,1.63,0.76236993616806,26.0682059693532,68.1548905886011,5959.74096149658,0.06,0,0,0,0.16,0,0,0,4.66906607491409,0.27908078144181,219945350247.057,0.100695664640629,-0.0755768442571862,2015,3,1,24.7100300356467,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",0.125204590218823,2.30187199491269,0.795878993023266,22.02,13.9908674182238,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,0.475861203158363
"14",0.0624,3.09811948745089,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,1.14704763933588
"15",0.1092,0.970173104924751,0.823519096615613,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,0.148040937876034
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,5,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,5,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,0.785485561201309,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,5,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,5,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,5,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,5,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,6,21.2431608095554,0.524728528934982
"23",0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,6,21.338829782848,0.53062825106217
"24",0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,6,21.4115070026719,0.536493370514568
"25",0.152101759806831,2.62,0.327269433625305,3.88637712382025,17.5867510378874,-7547.46988076579,0.87,0.99,0.92,0.83,0.84,1,1,1,-0.23582589866524,-0.428787526068418,-318599161027.766,0.550999847598482,0.0376753471009873,2013,9,7,23.7939961187572,0.963174317773006
"26",0.0516731296508068,3.2,1.15673922683122,46.0232325882066,104.174314543986,1073.76139612061,0.09,0.12,0.09,0.13,0.83,1,1,1,6.06831851369884,0.135289878473809,268298247674.638,1.96526093531432,-0.0122108921118647,2014,9,7,24.306292567972,1.16315080980568
"27",0.188682396130392,3.82,4.63100338523487,163.547366633588,-20.4301622152121,-8716.67058546225,0.08,0.08,0.03,0.06,0.62,1,1,1,12.1557769259412,0.752695375267627,-313877781051.35,0.973483730024112,0.0477791915343898,2015,9,7,23.3505825126549,1.34025042261848
"28",0.0822595737862492,1.77,-0.268723283059267,-13.4914160029931,-21.8187933944788,-16285.9221292106,0.48,0.59,0.3,0.55,0.56,1,0,1,0.420334330858932,0.0467308502314761,97688613866.4689,1.31523601875755,0.0246039468929499,2013,10,7,23.9387182537961,0.570979546585738
"29",0.160090146717557,1.95,1.58529857697904,51.0463272583205,63.5404128108904,2838.1417956233,0.08,0.07,0.04,0.08,0.51,1,0,1,4.83255288920543,0.58568272144182,249751399724.759,1.54411687971311,0.0236277206132968,2014,10,7,23.1276918941684,0.667829372575655
"30",0.0119278793948752,2.31,-0.804645013065856,-21.8554716223833,79.8214298768699,649.322750814161,0.09,0.07,0.05,0.09,0.53,1,0,1,-1.11924848041354,0.198877134741288,-109969404902.975,1.10791875763138,-0.0775545470087128,2015,10,7,24.8483185587762,0.837247524533702
"31",0.0318,0.48,0.0691,1.35,17.94,30.61,0.09,0.55,0,0.06,0.19,1,0,0,0.2653,0.0149,4.3752e+10,0.664424226349584,0.0566792627988099,2013,11,2,24.5018031629909,-0.7339691750802
"32",0.0538,0.64,0.1124,1.52,16.42,30.86,0.01,0.07,0,0.02,0.33,1,1,0,0.2839,0.0277,4.4027e+10,0.823355470888378,-0.0124982423959382,2014,11,2,24.5080689190305,-0.446287102628419
"33",0.0453,0.48,0.1013,1.35,14.09,30.14,0.02,0.06,0,0.01,0.32,1,1,0,0.3229,0.0273,4.0157e+10,1.18451195431639,0.0307973521119467,2015,11,2,24.4160626083444,-0.7339691750802
"34",0.0404,0.97,0.2246,5.98,26.14,12.99,0.38,0.61,0,0.47,0.47,1,0,0,0.002,0.1205,38321800000,0.634522853152042,-0.00114165492930315,2013,12,7,24.369284761806,-0.0304592074847086
