"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.0392286919891792,1.07,0.449457954944176,28.6552607577347,7.35457781859301,78.1361660579261,0.72,0.54,0.57,0.79,0.71,0,1,1,1.45346194523619,0.139414652476575,-109476120746.053,1.00869990729994,0.0402619842881623,2013,1,5,23.479971371579,0.0676586484738149
"2",0.113692661265269,1.03,1.04371774014289,49.9139327919362,30.2560897202731,2374.96668343071,0.11,0,0.08,0.04,0.52,0,1,1,2.40622751986752,0.277097086495759,49716689780.6706,0.314711639070007,-0.042838934246975,2014,1,5,25.645274614992,0.0295588022415444
"3",0.0912165001988352,1.54,0.363701031363736,10.6084004035623,87.1873031287683,11986.0739547865,0.11,0.01,0.09,0.06,0.55,0,1,1,4.96682568428802,0.0256153206684627,196356971872.194,1.68092636605572,0.0388677431258822,2015,1,5,24.2225569060038,0.431782416425538
"4",-0.0616,0.36,0.068987246561681,2.68101514181344,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,1.73951009575796,-0.153565806090127,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-2.85944825126142,0.9952,5.93,64.1690598826733,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-0.61129514520597
"6",0.1587,1.60510408993148,0.489869290069991,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,0.199080900585559
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.0136666405516047,1.53,1.31448713609116,78.1415700255035,2.21826766151445,2183.70494573188,0,0,0,0,0.1,0,0,0,8.71976556707861,0.107422145286414,607504306444.184,1.94587936650084,0.081231116123042,2014,3,1,24.7767852967619,0.425267735404344
"9",-0.00698250826651356,1.63,0.416251900574645,31.8133200321812,142.21652048231,6881.05394416388,0.06,0,0,0,0.16,0,0,0,3.72617277363373,0.0170682697046538,-605094705285.391,0.100695664640629,-0.0755768442571862,2015,3,1,21.6897009100278,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",0.11017918231192,1.08528395329665,0.583357806224883,22.02,-41.8185840869573,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,0.464673290581013
"14",0.0624,0.90718177271235,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,0.580011678360918
"15",0.1092,2.48047805043638,0.686203669167919,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,0.926626419774624
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,5,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,5,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,104.352641381126,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,5,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,5,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,5,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,5,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,6,21.2431608095554,0.524728528934982
"23",0.039,1.7,0.1297,4.24,31.84,5.02,0.03,0.07,0.03,0.01,0.52,1,1,1,1.3839,0.0665,1850700000,0.743221605521034,0.0367951634510975,2014,8,6,21.338829782848,0.53062825106217
"24",0.047,1.71,0.1407,4.48,31.04,5.5,0.04,0.09,0.01,0.05,0.57,1,1,1,1.2886,0.0817,1990212000,1.45288905135402,-0.0630325085882382,2015,8,6,21.4115070026719,0.536493370514568
"25",0.0684921272344298,2.62,0.654285983107321,40.5610548139688,-24.603864665811,7561.21437441306,0.87,0.99,0.92,0.83,0.84,1,1,1,1.09297979015858,-0.0472515735491903,-615862423431.738,0.550999847598482,0.0376753471009873,2013,9,7,24.4859101956893,0.963174317773006
"26",0.0861668643413969,3.2,0.138135732173606,-3.99289757995265,41.2836787065784,-3006.50315604011,0.09,0.12,0.09,0.13,0.83,1,1,1,1.392094165403,-0.0910979030567927,82300596804.0852,1.96526093531432,-0.0122108921118647,2014,9,7,22.233267343454,1.16315080980568
"27",0.138734630756746,3.82,0.702735741152315,33.2109450293342,2.81831508181725,9792.64642944362,0.08,0.08,0.03,0.06,0.62,1,1,1,1.79167751677793,0.132317482041521,-20004594153.5778,0.973483730024112,0.0477791915343898,2015,9,7,23.5744903899285,1.34025042261848
"28",0.167123599477605,1.77,0.529286497842629,9.41824047302228,-29.3582590241582,-5428.04020847945,0.48,0.59,0.3,0.55,0.56,1,0,1,-0.0659821399108611,0.13213443669123,-513031789830.878,1.31523601875755,0.0246039468929499,2013,10,7,21.9195777611439,0.570979546585738
