"","Roa","TobinsQ","Roe","PB_ratio","PE_ratio","BookValue_EquityPerShare","CarbonProductivity","WaterProductivity","WasteProductivity","EnergyProductivity","GreenScore","SustainableThemedCommitment","SustainabilityPayLink","AuditScore","Leverage","NetMargin","Assets","Beta","AlphaJensen","Year","Companies","Industry","FirmSize","LogTobinsQ"
"1",0.19087277830691,1.07,-0.439498321680876,-28.0459737305445,-38.6686394590522,-8616.37973727972,0.72,0.54,0.57,0.79,0.71,0,1,1,-0.079509154703578,0.366841457915235,189809761458.481,1.00869990729994,0.0402619842881623,2013,1,5,24.5220013096796,0.0676586484738149
"2",0.0137886486291137,1.03,-1.28271849635256,-40.1608755661104,39.4409578868574,-2096.16451547866,0.11,0,0.08,0.04,0.52,0,1,1,-4.70719897845065,0.317156514443553,128516227855.458,0.314711639070007,-0.042838934246975,2014,1,5,25.4438161730392,0.0295588022415444
"3",-0.0286334460372607,1.54,0.916589301292821,32.7665333196191,100.453598966305,-4497.55957740544,0.11,0.01,0.09,0.06,0.55,0,1,1,5.8682980359763,0.0904967831157782,162281292951.583,1.68092636605572,0.0388677431258822,2015,1,5,23.2706697944405,0.431782416425538
"4",-0.0616,0.36,-0.4182144851651,-11.0127901214534,1.53,-13.92,0.14,0.16,0.23,0.05,0.29,1,1,0,-0.897687443702504,1.03063244533988,4.2278e+10,4.00362770015547,-0.0398247181737621,2013,2,6,24.4675326931399,-1.02165124753198
"5",0.0653,-5.03463233241522,0.9952,5.93,-142.715292190135,2.9,0.03,0,0,0.01,0.3,1,1,0,8.0139,0.0676,4.3771e+10,0.577307617946443,0.100273036906597,2014,2,6,24.5022373345869,-1.75733881854867
"6",0.1587,2.0664217417673,0.42546419245609,7.08,6.01,9.34,0.05,0.03,0.06,0,0.39,1,1,0,3.2529,0.1857,4.8415e+10,0.790461094551201,0.0431280071554794,2015,2,6,24.6030755200099,0.616032910964025
"7",0.0779,1.42,0.2787,4.77,17.35,20.79,0,0,0,0,0,0,0,0,0.6943,0.0603,5564774000,0.973092713091747,0.0646331110505717,2013,3,1,22.4397222098879,0.350656871613169
"8",0.169502095195768,1.53,1.35764756409024,38.7012954449064,1.40841629401156,3240.30374451164,0,0,0,0,0.1,0,0,0,3.46537254167441,0.299038707613987,52240488286.4415,1.94587936650084,0.081231116123042,2014,3,1,23.4299159966723,0.425267735404344
"9",0.149236482137013,1.63,-0.0121012536974151,-6.72075023648732,108.565068946072,18224.9270351044,0.06,0,0,0,0.16,0,0,0,0.510599378639485,0.691925338690228,74560877906.3586,0.100695664640629,-0.0755768442571862,2015,3,1,24.1979966688844,0.488580014818671
"10",0.1792,2.18,0.2893,3.82,13.24,20.77,0.96,0.96,0.94,0.92,0.57,0,0,0,0.1308,0.2128,2.25184e+11,-0.0533221761606803,0.0103605666461802,2013,4,7,26.1401836827305,0.779324876800998
"11",0.1928,2.54,0.3736,5.65,16.71,21.17,0.13,0.11,0.14,0.11,0.75,0,1,1,0.2636,0.2225,2.61894e+11,1.99369967272456,-0.0734098713393379,2014,4,7,26.2912056786902,0.932164081030445
"12",0.1922,2.17,0.4279,5.36,12.47,23.13,0.15,0.12,0.11,0.1,0.74,0,1,1,0.4148,0.2287,2.93284e+11,1.11977964123371,-0.0925911028227361,2015,4,7,26.4044072597882,0.774727167552368
"13",0.0795291891390054,1.61777142790819,0.815318028613346,22.02,55.6766532430567,2.83,0.13,0.07,0.16,0.22,0.28,0,1,1,3.1817,0.2197,2.9198e+10,1.5653780897793,0.042181102355241,2013,5,5,24.0973660507242,0.132751713204981
"14",0.0624,4.31919829191328,0.4353,21.03,26.7,1.09,0.03,0.02,0.03,0.04,0.41,0,1,1,6.0649,0.0889,2.7547e+10,1.57707234982411,-0.0549208530042889,2014,5,5,24.0391594736941,2.03148636187304
"15",0.1092,1.70646528134127,0.853870451703628,18.48,32.47,2.45,0.04,0.02,0.05,0.07,0.47,0,1,1,7.4119,0.225,5.305e+10,1.3358525292876,0.0474591096876286,2015,5,5,24.6945007020064,0.746709408652526
"16",0.0172,0.92,0.1314,6.55,35.89,9.81,0,0,0,0,0.13,0,0,0,0.6214,0.0032,19796095000,0.742625084707307,-0.0239918164236638,2013,6,5,23.7087505329738,-0.083381608939051
"17",0.0016,0.9,0.0179,9.36,72.86,8.05,0,0,0,0,0.14,0,0,0,1.1287,3e-04,24904916000,0.725509368341039,-0.00938741586131097,2014,6,5,23.9383310506493,-0.105360515657826
"18",0.014,0.96,0.2915,31.92,101.002633838745,6.33,0.06,0,0,0,0.2,0,0,0,3.3794,0.0028,30755802000,0.468147190753278,0.0601803856816807,2015,6,5,24.1493444963274,-0.0408219945202552
"19",0.0597,1.23,0.1091,2.33,18.83,16.31,0.08,0.15,0.35,0.12,0.29,0,1,1,0.1346,0.1171,4.2953e+10,1.84355580390044,-0.0481446412909056,2013,7,5,24.4833723315986,0.207014169384326
"20",0.0547,1.66,0.0995,2.82,33.77,14.27,0.01,0.02,0.03,0.02,0.37,0,1,1,0.1583,0.1123,4.1275e+10,0.832397643855632,0.0118924378901004,2014,7,5,24.4435228267526,0.506817602368452
"21",0.104,1.63,0.202,3.03,14.28,14.4,0.01,0.01,0.05,0.01,0.38,0,1,1,0.2768,0.2158,4.1247e+10,1.44857963539465,0.0311116643961698,2015,7,5,24.4428442198096,0.488580014818671
"22",0.0401,1.69,0.1243,4.74,39.04,4.71,0.43,0.4,0.02,0.2,0.39,1,0,1,1.3023,0.0738,1681851000,0.846682324054431,-0.0165347661272721,2013,8,6,21.2431608095554,0.524728528934982
